predio,comuna,latitud,longitud,score,nivel
PARCELA 4 LOS AROMOS,COLLIPULLI,-37.897257,-72.491422,100.0,CRÍTICO
SITIO 4 P4 LOS AROMOS,COLLIPULLI,-37.874132,-72.503209,100.0,CRÍTICO
LA SUERTE Y EL RADAL,COLLIPULLI,-38.024787,-72.085881,100.0,CRÍTICO
SURCO Y SEMILLA,COLLIPULLI,-38.028805,-72.272137,100.0,CRÍTICO
LA ARAUCANIA,COLLIPULLI,-37.925462,-72.204224,100.0,CRÍTICO
LOTE G2 LA VERTIENTE,COLLIPULLI,-37.794825,-72.499442,100.0,CRÍTICO
SAN ALBERTO,NUEVA IMPERIAL,-38.656058,-73.084956,100.0,CRÍTICO
BUENA SUERTE,CARAHUE,-38.41389,-73.190504,100.0,CRÍTICO
EL CEREZO,CARAHUE,-38.420382,-73.170775,100.0,CRÍTICO
EL ENCANTO,CARAHUE,-38.442104,-73.162403,100.0,CRÍTICO
HUAMAQUI,NUEVA IMPERIAL,-38.517019,-73.045542,100.0,CRÍTICO
MAGALLANES,CARAHUE,-38.460809,-73.226409,100.0,CRÍTICO
PINO HUACHO,CARAHUE,-38.434693,-73.193782,100.0,CRÍTICO
SAN ANTONIO,CARAHUE,-38.540519,-73.117484,100.0,CRÍTICO
SAN RICARDO,CARAHUE,-38.493148,-73.124342,100.0,CRÍTICO
TOQUIHUE,CARAHUE,-38.505481,-73.219675,100.0,CRÍTICO
SANTA RINA,CARAHUE,-38.436227,-73.395965,100.0,CRÍTICO
BOROA LOTE B 1,TOLTEN,-39.297532,-73.123309,56.0,ALTO
PUMALAL IV,TOLTEN,-39.043282,-73.017334,100.0,CRÍTICO
LLINCO III,NUEVA IMPERIAL,-38.881505,-72.986036,100.0,CRÍTICO
SANTA VALENTINA,CARAHUE,-38.575268,-73.332892,100.0,CRÍTICO
SAN HUMBERTO LOTE A,TOLTEN,-39.088867,-73.031652,100.0,CRÍTICO
PALO SANTO I,TOLTEN,-39.265649,-73.002401,64.0,ALTO
SANTA EMA Y OTROS,TOLTEN,-39.277484,-72.994144,64.0,ALTO
BUENA VISTA,TEODORO SCHMIDT,-39.005787,-73.01874,100.0,CRÍTICO
COIHUECO,TEODORO SCHMIDT,-38.933031,-73.143561,100.0,CRÍTICO
PINO SOLO,TOLTEN,-39.261897,-72.946342,46.0,MEDIO
PARCELA DINAMARCA I Y II,CARAHUE,-38.576992,-73.20333,100.0,CRÍTICO
LA CARRERA LOTE A,TOLTEN,-39.111237,-73.038225,100.0,CRÍTICO
