id,nombre_predio,comuna,latitud,longitud,nivel_importancia,hectareas
1930,EL TRIANGULO,SANTA BARBARA,-37.639854,-71.817895,BAJO,21.35
1931,LOS MAYOS 4,SANTA BARBARA,-37.666411,-71.968368,BAJO,75.75
1932,EL TRIANGULO Y OTROS,MULCHEN,-37.725226,-72.25685,MEDIO,4.43
1933,LA ARANA,LUMACO,-38.349199,-73.138803,MEDIO,101.4
1934,LOS FLAMENCOS,LUMACO,-38.350051,-73.005869,MEDIO,27.24
1935,PARC.10 MISQUE,YUMBEL,-37.146854,-72.481975,BAJO,83.45
1936,PARCELA 7 MISQUE LOTE B,YUMBEL,-37.158164,-72.47935,BAJO,39.74
1937,EL CAMBRAY LOTE A-A1,NACIMIENTO,-37.473795,-72.696394,MEDIO,12.75
1938,SITIO 33 VALLE HERMOSO,PEMUCO,-36.975084,-72.232324,MEDIO,43.49
1939,PARCELA 51 VALLE HERMOSO,PEMUCO,-36.985153,-72.230963,MEDIO,109.84
1940,CARTAGO,PEMUCO,-37.012809,-71.842067,BAJO,241.61
1941,PC-B-SAN LUIS DEL PAL PAL,PEMUCO,-36.986336,-72.054764,BAJO,111.8
1942,LOS PEUMOS,PEMUCO,-36.983967,-72.064125,BAJO,91.02
1943,LOTE 2 PARCELA 5 DANICALQUI,PEMUCO,-36.99131,-72.143957,BAJO,60.58
1944,LAS VINAS DE CURAPASO,YUNGAY,-37.082962,-72.053775,BAJO,6.71
1945,PEMUCO,PEMUCO,-36.934743,-72.127992,BAJO,317.29
1946,COSTA RICA Y OTROS,PEMUCO,-36.989969,-72.186528,MEDIO,217.41
1947,PARCELA 2 COLONIA HUEPIL,TUCAPEL,-37.203091,-71.830908,BAJO,92.83
1948,SANTA ISABEL,YUNGAY,-37.081545,-72.044082,BAJO,32.29
1949,CANELILLO,PEMUCO,-37.035599,-71.878288,BAJO,39.05
1950,HIJUELA 2A 2 SAN LUIS PAL PAL,PEMUCO,-36.988313,-72.047835,BAJO,32.61
1951,HIJUELA CHAPALE,PEMUCO,-37.038758,-71.818414,BAJO,109.68
1952,SANTA MARIA,PEMUCO,-37.028362,-71.866707,BAJO,20.98
1953,SAN LUIS DE PALPAL,PEMUCO,-36.968447,-72.054172,BAJO,15.93
1954,SANTA ELVIRA,PEMUCO,-36.950223,-72.144107,BAJO,56.26
1955,LOS CASTANOS,YUNGAY,-37.058892,-71.821535,BAJO,109.31
1956,SN LUIS DEL PAL PAL P-7,PEMUCO,-36.99747,-71.989161,BAJO,11.19
1957,MESETA BAJA,TUCAPEL,-37.262299,-71.790699,BAJO,37.59
1958,CARRIZALILLO LOTE C,PEMUCO,-36.952301,-72.086168,BAJO,59.77
1959,LOS LAURELES,YUNGAY,-37.0834,-71.806362,BAJO,33.08
1960,LA CABANA,YUNGAY,-37.134892,-72.25608,MEDIO,54.03
1961,EL MIRADOR,PEMUCO,-36.959879,-72.144715,BAJO,59.17
1962,SANTA ELVIRA,PEMUCO,-36.939657,-72.151464,BAJO,451.25
1963,PADRE HURTADO Y OTROS,PEMUCO,-37.029535,-71.978513,BAJO,187.34
1964,LA ESPERANZA,EL CARMEN,-36.941416,-71.81114,BAJO,58.48
1965,DANICALQUI P2 L2,PEMUCO,-36.98186,-72.127623,BAJO,9.71
1966,MAYULERMU L2 DEL LB H.5,EL CARMEN,-36.829692,-71.846929,BAJO,57.15
1967,EL GUINDO,YUNGAY,-37.075263,-71.781919,BAJO,25.39
1968,SANHUEZA,YUNGAY,-37.111837,-71.843953,BAJO,90.19
1969,SANTA LUISA,SAN IGNACIO,-36.828299,-71.802721,BAJO,22.44
1970,LAS CRUCES LOTE 2 Y 3,PINTO,-36.82504,-71.826464,BAJO,48.16
1971,LAS DELICIAS Y OTROS,TUCAPEL,-37.202537,-71.863815,BAJO,279.77
1972,SAN ISIDRO Y LOS MAITENS,COIHUECO,-36.592013,-71.635767,BAJO,651.87
1973,CAPILLA Y LAS QUILAS,EL CARMEN,-36.916595,-71.783928,BAJO,79.26
1974,LOS HOYOS,PINTO,-36.795119,-71.782276,BAJO,10.42
1975,EL LINGAL,EL CARMEN,-36.898878,-71.804296,BAJO,36.38
1976,SINGAPUR,PEMUCO,-37.029498,-72.092747,BAJO,16.84
1977,BUENOS AIRES LOTE 1,EL CARMEN,-36.977097,-71.744813,BAJO,103.62
1978,LEORBEN,YUNGAY,-37.091815,-71.981302,BAJO,45.29
1979,SANTA JUANA,QUILLECO,-37.502737,-71.843022,BAJO,68.45
1980,EL AROMO LOTE-A Y EL PEUMO LOTE-,LOS ANGELES,-37.274545,-72.145094,BAJO,88.74
1981,LA MARAVILLA LOTE-B,NACIMIENTO,-37.470372,-72.845681,BAJO,38.93
1982,ZARZAL DE COREO LOTE B,QUILLECO,-37.474676,-72.060867,BAJO,65.78
